Estimators:,1NN-DTW,Arsenal,CIF-500,Catch22,DrCIF-500,Dummy,FreshPRINCE,HC2,MRHydra,QUANT,RDST,RIST,ROCKET,STC,TDE,h-inceptiontime,litetime-mv
Epilepsy,0.9637681159420289,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9927536231884058,0.26811594202898553,0.9420289855072463,1.0,1.0,1.0,0.9927536231884058,0.9855072463768116,0.9855072463768116,0.9855072463768116,1.0,0.9710144927536232,1.0
EthanolConcentration,0.3231939163498099,0.41064638783269963,0.714828897338403,0.3574144486692015,0.6730038022813688,0.2509505703422053,0.38022813688212925,0.7186311787072244,0.6007604562737643,0.6958174904942965,0.6121673003802282,0.6197718631178707,0.43346007604562736,0.7490494296577946,0.5209125475285171,0.23954372623574144,0.26996197718631176
EyesOpenShut,0.47619047619047616,0.5238095238095238,0.5,0.5,0.5,0.5,0.5,0.4523809523809524,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.42857142857142855,0.42857142857142855,0.42857142857142855
FingerMovements,0.53,0.54,0.55,0.5,0.48,0.49,0.53,0.54,0.56,0.5,0.54,0.52,0.55,0.58,0.5,0.57,0.64
HandMovementDirection,0.1891891891891892,0.5,0.47297297297297297,0.25675675675675674,0.527027027027027,0.20270270270270271,0.4594594594594595,0.4189189189189189,0.32432432432432434,0.527027027027027,0.33783783783783783,0.44594594594594594,0.5135135135135135,0.5405405405405406,0.36486486486486486,0.43243243243243246,0.33783783783783783
Handwriting,0.6070588235294118,0.5611764705882353,0.38588235294117645,0.2564705882352941,0.35294117647058826,0.03764705882352941,0.34823529411764703,0.5847058823529412,0.5223529411764706,0.33647058823529413,0.6047058823529412,0.38588235294117645,0.5870588235294117,0.4117647058823529,0.5611764705882353,0.6470588235294118,0.6305882352941177
Heartbeat,0.7170731707317073,0.7414634146341463,0.775609756097561,0.7609756097560976,0.7853658536585366,0.7219512195121951,0.775609756097561,0.751219512195122,0.751219512195122,0.775609756097561,0.751219512195122,0.775609756097561,0.7560975609756098,0.7219512195121951,0.6536585365853659,0.7560975609756098,0.7121951219512195
HouseholdPowerConsumption1_disc_nmv,0.7638483965014577,0.8892128279883382,0.9606413994169096,0.9752186588921283,0.9416909620991254,0.7784256559766763,0.9839650145772595,0.9037900874635568,0.8950437317784257,0.9737609329446064,0.892128279883382,0.934402332361516,0.89067055393586,0.8760932944606414,0.8556851311953353,0.9212827988338192,0.9110787172011662
HouseholdPowerConsumption2_disc_nmv,0.6457725947521866,0.7711370262390671,0.7711370262390671,0.7317784256559767,0.7769679300291545,0.7215743440233237,0.7696793002915452,0.7798833819241983,0.7871720116618076,0.782798833819242,0.7740524781341108,0.7667638483965015,0.7478134110787172,0.7725947521865889,0.749271137026239,0.782798833819242,0.7361516034985423
IEEEPPG_disc,0.3878012048192771,0.6061746987951807,0.4367469879518072,0.4894578313253012,0.30948795180722893,0.2605421686746988,0.29292168674698793,0.598644578313253,0.6061746987951807,0.2680722891566265,0.7153614457831325,0.32379518072289154,0.6310240963855421,0.6581325301204819,0.3501506024096386,0.6656626506024096,0.37876506024096385
IRDS-EFL,0.6538461538461539,0.6153846153846154,0.6538461538461539,0.7307692307692307,0.5384615384615384,0.5384615384615384,0.8846153846153846,0.6538461538461539,0.7692307692307693,0.7307692307692307,0.7692307692307693,0.5384615384615384,0.5769230769230769,0.8461538461538461,0.5769230769230769,0.6538461538461539,0.6538461538461539
IRDS-EFR,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8666666666666667
IRDS-SAL,0.32142857142857145,0.5178571428571429,0.375,0.39285714285714285,0.375,0.75,0.39285714285714285,0.5535714285714286,0.32142857142857145,0.3392857142857143,0.7678571428571429,0.32142857142857145,0.6071428571428571,0.6607142857142857,0.7142857142857143,0.26785714285714285,0.35714285714285715
IRDS-SAR,0.12121212121212122,0.2727272727272727,0.3939393939393939,0.21212121212121213,0.18181818181818182,0.12121212121212122,0.30303030303030304,0.15151515151515152,0.696969696969697,0.5151515151515151,0.36363636363636365,0.12121212121212122,0.2727272727272727,0.45454545454545453,0.12121212121212122,0.7272727272727273,0.7575757575757576
IRDS-SFE,1.0,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8666666666666667
